"agency_name","rocket_name","rocket_family","rocket_length","rocket_diameter","rocket_launch_mass","rocket_low_earth_orbit_capacity","rocket_description"
"SpaceX","Falcon 9 Block 5","Falcon","70 m","3.65 m","549 T","22800 kg","The Falcon 9 Block 5 was manufactured by SpaceX with the first launch on 2018-05-11. Falcon 9 Block 5 has 143 successful launches and 0 failed launches with a total of 143 launches. Falcon 9 is a two-stage rocket designed and manufactured by SpaceX for the reliable and safe transport of satellites and the Dragon spacecraft into orbit. The Block 5 variant is the fifth major interval aimed at improving upon the ability for rapid reusability".
"SpaceX","Falcon 9 Block 6","Falcon","70 m","3.65 m","549 T","22800 kg","The Falcon 9 Block 5 was manufactured by SpaceX with the first launch on 2018-05-11. Falcon 9 Block 5 has 143 successful launches and 0 failed launches with a total of 143 launches. Falcon 9 is a two-stage rocket designed and manufactured by SpaceX for the reliable and safe transport of satellites and the Dragon spacecraft into orbit. The Block 5 variant is the fifth major interval aimed at improving upon the ability for rapid reusability".
"SpaceX","Falcon 9 Block 2","Falcon","70 m","3.65 m","549 T","22800 kg","The Falcon 9 Block 5 was manufactured by SpaceX with the first launch on 2018-05-11. Falcon 9 Block 5 has 143 successful launches and 0 failed launches with a total of 143 launches. Falcon 9 is a two-stage rocket designed and manufactured by SpaceX for the reliable and safe transport of satellites and the Dragon spacecraft into orbit. The Block 5 variant is the fifth major interval aimed at improving upon the ability for rapid reusability".
"Khrunichev State Research and Production Space Center","Proton-M Blok DM-03","Proton / UR-500","58.2 m","7.4 m","712 T","2100 kg","The Proton-M Blok DM-03 was manufactured by Khrunichev State Research and Production Space Center with the first launch on 2010-12-05. Proton-M Blok DM-03 has 4 successful launches and 2 failed launches with a total of 6 launches. Proton-M Blok DM-03 is a four stage Russian heavy lift launch vehicle derived from the Soviet Proton launch vehicle."
"Russian Federal Space Agency (ROSCOSMOS)","Soyuz 2.1a","Soyuz","46.3 m","2.95 m","312 T","7020 kg","The Soyuz 2.1a was manufactured by Progress Rocket Space Center with the first launch on 2004-11-04. Soyuz 2.1a has 34 successful launches and 1 failed launches with a total of 35 launches. The Soyuz 2.1A converted the flight control system from analog to digital, which allowed launch from fixed platforms. It also allowed big fairings and payloads."
"Mitsubishi Heavy Industries","H3-22","H3","63 m","1.93 m","854 T","2309 kg","unknown"
"Russian Federal Space Agency (ROSCOSMOS)","Soyuz MS-23","Soyuz","46.3 m","2.95 m","312 T","7020 kg","The Soyuz 2.1a was manufactured by Progress Rocket Space Center with the first launch on 2004-11-04. Soyuz 2.1a has 34 successful launches and 1 failed launches with a total of 35 launches. The Soyuz 2.1A converted the flight control system from analog to digital, which allowed launch from fixed platforms. It also allowed big fairings and payloads."
"United Launch Alliance","Vulcan VC2S","Vulcan","unknown","2.3 m","72 T","3260 kg","The Vulcan VC2S was manufactured by United Launch Alliance with the first launch on . Vulcan VC2S has 0 successful launches and 0 failed launches with a total of 0 launches. The Vulcan launch system is a replacement under development by ULA to replace the Atlas-5 and Delta-4 families."
"Relativity Space","Terran 1","RS1","53 m","3 m","12 T","3900 kg","Relativity Space – RS and Terran 1 – Relativity Space"
"Indian Space Research Organization","SSLV – Indian Space Research Organization","SSLV - ISRO","23 m","2.3 m","154 T","1590 kg","SSLV – Indian Space Research Organization - ISRO"